disk pa,disk el,xcen,ycen,R_{warp},wepsm,wphim
  3.2093E+01,  4.9860E-01,  1.2854E+02,  1.2870E+02,  6.2126E+01,  3.0901E+00,  1.4838E+01
  3.5828E+01,  4.9720E-01,  1.2864E+02,  1.2830E+02,  6.8260E+01,  3.1483E+00,  7.2665E+00
  3.1576E+01,  5.4744E-01,  1.2855E+02,  1.2857E+02,  9.0001E+00,  3.1191E+00,  1.5300E+01
  3.5213E+01,  4.7959E-01,  1.2849E+02,  1.2845E+02,  9.0000E+00,  3.1438E+00,  7.4877E+00
  3.4959E+01,  5.1211E-01,  1.2812E+02,  1.2872E+02,  4.1151E+01,  3.0907E+00,  9.5330E+00
